,country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
41,MDG,-22.86145,47.04082,328.27,1.01,1.01,2024-11-07,1129,Aqua,MODIS,72,6.1NRT,308.19,11.4,D
42,MDG,-22.86001,47.05046,334.71,1.01,1.01,2024-11-07,1129,Aqua,MODIS,82,6.1NRT,308.04,20.33,D
43,MDG,-22.85789,46.63609,340.07,1.0,1.0,2024-11-07,1129,Aqua,MODIS,87,6.1NRT,312.23,26.31,D
44,MDG,-22.78475,47.60998,323.48,1.04,1.02,2024-11-07,1129,Aqua,MODIS,65,6.1NRT,303.12,10.75,D
45,MDG,-22.78337,47.43723,321.04,1.03,1.01,2024-11-07,1129,Aqua,MODIS,51,6.1NRT,303.82,7.16,D
46,MDG,-22.62594,47.07604,325.51,1.01,1.01,2024-11-07,1129,Aqua,MODIS,60,6.1NRT,308.49,6.29,D
47,MDG,-22.60082,45.41265,334.35,1.02,1.01,2024-11-07,1129,Aqua,MODIS,81,6.1NRT,313.2,15.97,D
48,MDG,-22.55492,46.93868,334.39,1.01,1.0,2024-11-07,1129,Aqua,MODIS,65,6.1NRT,307.05,23.28,D
49,MDG,-22.54205,47.08506,337.12,1.02,1.01,2024-11-07,1129,Aqua,MODIS,81,6.1NRT,307.6,26.02,D
50,MDG,-22.5406,47.0947,352.93,1.02,1.01,2024-11-07,1129,Aqua,MODIS,96,6.1NRT,309.71,56.6,D
51,MDG,-22.52888,47.17229,338.74,1.02,1.01,2024-11-07,1129,Aqua,MODIS,85,6.1NRT,305.1,33.32,D
52,MDG,-22.49686,47.01104,325.08,1.01,1.01,2024-11-07,1129,Aqua,MODIS,30,6.1NRT,309.46,10.34,D
53,MDG,-22.48218,47.04807,332.81,1.01,1.01,2024-11-07,1129,Aqua,MODIS,80,6.1NRT,307.77,21.07,D
54,MDG,-22.48073,47.0577,349.4,1.02,1.01,2024-11-07,1129,Aqua,MODIS,94,6.1NRT,306.44,50.33,D
55,MDG,-22.47928,47.06736,320.65,1.02,1.01,2024-11-07,1129,Aqua,MODIS,46,6.1NRT,304.76,7.0,D
56,MDG,-22.4588,47.39085,321.34,1.03,1.01,2024-11-07,1129,Aqua,MODIS,45,6.1NRT,304.05,7.49,D
57,MDG,-22.45857,47.08342,327.43,1.02,1.01,2024-11-07,1129,Aqua,MODIS,72,6.1NRT,305.32,15.7,D
58,MDG,-22.42186,46.7159,327.9,1.01,1.0,2024-11-07,1129,Aqua,MODIS,74,6.1NRT,311.28,10.01,D
59,MDG,-22.39702,46.76068,341.76,1.01,1.0,2024-11-07,1129,Aqua,MODIS,89,6.1NRT,313.67,29.31,D
60,MDG,-22.3956,46.77022,334.85,1.01,1.0,2024-11-07,1129,Aqua,MODIS,83,6.1NRT,313.59,18.34,D
61,MDG,-22.39502,44.43642,324.41,1.08,1.04,2024-11-07,1129,Aqua,MODIS,64,6.1NRT,302.17,12.27,D
62,MDG,-22.31189,47.07472,326.71,1.02,1.01,2024-11-07,1129,Aqua,MODIS,73,6.1NRT,301.55,18.78,D
63,MDG,-22.31043,47.08445,321.35,1.02,1.01,2024-11-07,1129,Aqua,MODIS,62,6.1NRT,301.03,13.19,D
64,MDG,-22.19911,46.53083,327.58,1.0,1.0,2024-11-07,1129,Aqua,MODIS,56,6.1NRT,313.24,8.9,D
65,MDG,-22.16787,44.40919,338.13,1.08,1.04,2024-11-07,1129,Aqua,MODIS,84,6.1NRT,311.51,26.55,D
66,MDG,-22.16649,44.41946,363.38,1.08,1.04,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,312.16,88.15,D
67,MDG,-22.10291,47.89218,328.41,1.07,1.03,2024-11-07,1129,Aqua,MODIS,77,6.1NRT,303.57,19.57,D
68,MDG,-22.10218,46.38199,334.35,1.0,1.0,2024-11-07,1129,Aqua,MODIS,82,6.1NRT,314.31,17.29,D
69,MDG,-22.10131,47.90236,320.22,1.07,1.03,2024-11-07,1129,Aqua,MODIS,62,6.1NRT,301.78,9.66,D
70,MDG,-22.09521,47.89551,326.82,1.07,1.03,2024-11-07,1129,Aqua,MODIS,76,6.1NRT,302.09,18.61,D
71,MDG,-22.02902,46.06114,325.69,1.0,1.0,2024-11-07,1129,Aqua,MODIS,59,6.1NRT,309.4,8.66,D
72,MDG,-22.01729,47.0139,326.35,1.02,1.01,2024-11-07,1129,Aqua,MODIS,73,6.1NRT,299.48,16.63,D
73,MDG,-21.99623,48.0459,337.16,1.09,1.04,2024-11-07,1129,Aqua,MODIS,87,6.1NRT,299.73,34.8,D
74,MDG,-21.98794,46.40434,334.62,1.0,1.0,2024-11-07,1129,Aqua,MODIS,82,6.1NRT,317.54,14.68,D
75,MDG,-21.98437,44.33648,327.81,1.08,1.04,2024-11-07,1129,Aqua,MODIS,70,6.1NRT,305.89,12.86,D
76,MDG,-21.97915,47.9831,316.22,1.08,1.04,2024-11-07,1129,Aqua,MODIS,44,6.1NRT,297.85,6.47,D
77,MDG,-21.86985,46.58311,326.13,1.01,1.0,2024-11-07,1129,Aqua,MODIS,63,6.1NRT,309.28,10.48,D
78,MDG,-21.86843,46.59264,326.68,1.01,1.0,2024-11-07,1129,Aqua,MODIS,71,6.1NRT,308.22,11.47,D
79,MDG,-21.86525,47.5851,328.68,1.05,1.02,2024-11-07,1129,Aqua,MODIS,76,6.1NRT,300.19,21.02,D
80,MDG,-21.82155,44.78831,329.58,1.04,1.02,2024-11-07,1129,Aqua,MODIS,63,6.1NRT,311.85,8.24,D
81,MDG,-21.81665,45.99754,326.39,1.0,1.0,2024-11-07,1129,Aqua,MODIS,65,6.1NRT,310.32,8.31,D
82,MDG,-21.81433,46.57649,328.79,1.01,1.0,2024-11-07,1129,Aqua,MODIS,75,6.1NRT,309.91,11.39,D
83,MDG,-21.66364,46.78922,332.18,1.01,1.01,2024-11-07,1129,Aqua,MODIS,80,6.1NRT,310.1,17.42,D
84,MDG,-21.64828,46.20503,336.39,1.0,1.0,2024-11-07,1129,Aqua,MODIS,83,6.1NRT,315.38,17.02,D
85,MDG,-21.6469,46.2145,345.05,1.0,1.0,2024-11-07,1129,Aqua,MODIS,90,6.1NRT,316.9,31.35,D
86,MDG,-21.6446,45.84956,332.71,1.0,1.0,2024-11-07,1129,Aqua,MODIS,77,6.1NRT,306.76,21.32,D
87,MDG,-21.63367,43.57998,325.78,1.15,1.07,2024-11-07,1129,Aqua,MODIS,49,6.1NRT,304.06,9.0,D
88,MDG,-21.61113,46.33449,331.0,1.0,1.0,2024-11-07,1129,Aqua,MODIS,76,6.1NRT,312.9,12.18,D
89,MDG,-21.59214,45.89894,331.6,1.0,1.0,2024-11-07,1129,Aqua,MODIS,75,6.1NRT,312.97,14.61,D
90,MDG,-21.58466,45.88798,337.46,1.0,1.0,2024-11-07,1129,Aqua,MODIS,83,6.1NRT,310.18,22.86,D
91,MDG,-21.57409,45.69532,327.34,1.0,1.0,2024-11-07,1129,Aqua,MODIS,65,6.1NRT,310.14,10.18,D
92,MDG,-21.57339,45.7632,323.22,1.0,1.0,2024-11-07,1129,Aqua,MODIS,44,6.1NRT,308.27,7.93,D
93,MDG,-21.57233,45.97319,348.61,1.0,1.0,2024-11-07,1129,Aqua,MODIS,80,6.1NRT,318.37,37.3,D
94,MDG,-21.57018,46.05037,332.76,1.0,1.0,2024-11-07,1129,Aqua,MODIS,66,6.1NRT,316.45,11.79,D
95,MDG,-21.5688,46.05983,333.84,1.0,1.0,2024-11-07,1129,Aqua,MODIS,77,6.1NRT,315.85,13.22,D
96,MDG,-21.56583,45.87832,329.37,1.0,1.0,2024-11-07,1129,Aqua,MODIS,63,6.1NRT,310.9,12.87,D
97,MDG,-21.56446,45.88779,352.03,1.0,1.0,2024-11-07,1129,Aqua,MODIS,95,6.1NRT,311.97,50.5,D
98,MDG,-21.55996,46.05834,340.61,1.0,1.0,2024-11-07,1129,Aqua,MODIS,82,6.1NRT,316.32,22.58,D
99,MDG,-21.55699,45.87683,332.14,1.0,1.0,2024-11-07,1129,Aqua,MODIS,69,6.1NRT,311.98,15.87,D
100,MDG,-21.55561,45.88631,333.28,1.0,1.0,2024-11-07,1129,Aqua,MODIS,70,6.1NRT,312.09,16.31,D
101,MDG,-21.55249,46.04738,338.99,1.0,1.0,2024-11-07,1129,Aqua,MODIS,57,6.1NRT,316.02,18.35,D
102,MDG,-21.55111,46.05684,374.33,1.0,1.0,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,318.22,108.47,D
103,MDG,-21.54814,45.87534,334.35,1.0,1.0,2024-11-07,1129,Aqua,MODIS,79,6.1NRT,311.71,19.24,D
104,MDG,-21.54719,46.45402,336.91,1.0,1.0,2024-11-07,1129,Aqua,MODIS,84,6.1NRT,310.99,21.87,D
105,MDG,-21.54579,46.4635,325.03,1.0,1.0,2024-11-07,1129,Aqua,MODIS,67,6.1NRT,308.6,6.19,D
106,MDG,-21.53717,45.95104,354.76,1.0,1.0,2024-11-07,1129,Aqua,MODIS,82,6.1NRT,315.51,53.27,D
107,MDG,-21.53579,45.9605,375.22,1.0,1.0,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,318.85,116.3,D
